Date,Close
5/1/2017,82.06
5/2/2017,82.05
5/3/2017,82.7
5/4/2017,81.64
5/5/2017,82.02
5/8/2017,82.89
5/9/2017,82.31
5/10/2017,81.91
5/11/2017,82.61
5/12/2017,82.55
5/15/2017,82.8
5/16/2017,82.55
5/17/2017,81.99
5/18/2017,81.75
5/19/2017,81.93
5/22/2017,82.29
5/23/2017,82.58
5/24/2017,82.29
5/25/2017,81.75
5/26/2017,81.55
5/30/2017,81.1
5/31/2017,80.5
6/1/2017,80.7
6/2/2017,79.5
6/5/2017,80.12
6/6/2017,81.21
6/7/2017,80.91
6/8/2017,80.62
6/9/2017,82.13
6/12/2017,82.93
6/13/2017,82.96
6/14/2017,82.07
6/15/2017,82.26
6/16/2017,83.49
6/19/2017,82.76
6/20/2017,82.31
6/21/2017,81.44
6/22/2017,81.08
6/23/2017,81.61
6/26/2017,81.24
6/27/2017,81.11
6/28/2017,81.53
6/29/2017,80.7
6/30/2017,80.73
7/3/2017,82.1
7/5/2017,80.85
7/6/2017,80.12
7/7/2017,80.22
7/10/2017,80.16
7/11/2017,80.6
7/12/2017,80.96
7/13/2017,80.97
7/14/2017,81.28
7/17/2017,80.86
7/18/2017,80.6
7/19/2017,80.85
7/20/2017,80.86
7/21/2017,80.12
7/24/2017,79.87
7/25/2017,80.27
7/26/2017,80.37
7/27/2017,80.83
7/28/2017,79.6
7/31/2017,80.04
8/1/2017,80.17
8/2/2017,80.6
8/3/2017,80.49
8/4/2017,80.21
8/7/2017,80.16
8/8/2017,79.96
8/9/2017,80.21
8/10/2017,78.97
8/11/2017,78.21
8/14/2017,78.23
8/15/2017,78.04
8/16/2017,77.47
8/17/2017,76.26
8/18/2017,76.64
8/21/2017,76.38
8/22/2017,76.74
8/23/2017,76.61
8/24/2017,76.33
8/25/2017,76.72
8/28/2017,76.47
8/29/2017,76.45
8/30/2017,76.1
8/31/2017,76.33
9/1/2017,76.57
9/5/2017,77.18
9/6/2017,78.78
9/7/2017,79.03
9/8/2017,78.82
9/11/2017,79.25
9/12/2017,79.5
9/13/2017,79.77
9/14/2017,80.09
9/15/2017,80.07
9/18/2017,80.09
9/19/2017,80.22
9/20/2017,80.55
9/21/2017,79.89
9/22/2017,79.92
9/25/2017,80.98
9/26/2017,80.89
9/27/2017,81.43
9/28/2017,82.19
9/29/2017,81.98
10/2/2017,81.63
10/3/2017,81.76
10/4/2017,81.79
10/5/2017,82.02
10/6/2017,81.71
10/9/2017,82.03
10/10/2017,82.26
10/11/2017,82.6
10/12/2017,82.43
10/13/2017,82.41
10/16/2017,82.81
10/17/2017,82.96
10/18/2017,82.76
10/19/2017,82.74
10/20/2017,83.11
10/23/2017,83.24
10/24/2017,83.47
10/25/2017,83.17
10/26/2017,83.47
10/27/2017,83.71
10/30/2017,83.54
10/31/2017,83.35
11/1/2017,83.87
11/2/2017,83.53
11/3/2017,83.18
11/6/2017,83.75
11/7/2017,83.58
11/8/2017,83.47
11/9/2017,83.97
11/10/2017,82.94
11/13/2017,82.89
11/14/2017,82.24
11/15/2017,81.21
11/16/2017,80.56
11/17/2017,80.24
11/20/2017,80.55
11/21/2017,80.87
11/22/2017,81.1
11/24/2017,81.42
11/27/2017,81.11
11/28/2017,81.67
11/29/2017,82.27
11/30/2017,83.29
12/1/2017,83.46
12/4/2017,83.57
12/5/2017,82.89
12/6/2017,82.28
12/7/2017,82.55
12/8/2017,82.66
12/11/2017,83.03
12/12/2017,82.76
12/13/2017,83.12
12/14/2017,82.9
12/15/2017,83.03
12/18/2017,82.94
12/19/2017,82.44
12/20/2017,82.87
12/21/2017,83.85
12/22/2017,83.97
12/26/2017,83.98
12/27/2017,83.9
12/28/2017,84.02
12/29/2017,83.64
1/2/2018,85.03
1/3/2018,86.7
1/4/2018,86.82
1/5/2018,86.75
1/8/2018,87.14
1/9/2018,86.77
1/10/2018,86.08
1/11/2018,86.93
1/12/2018,87.52
1/16/2018,86.97
1/17/2018,88
1/18/2018,87.43
1/19/2018,87.15
1/22/2018,88.25
1/23/2018,88.3
1/24/2018,88.53
1/25/2018,88.37
1/26/2018,89
1/29/2018,88.01
1/30/2018,86.78
1/31/2018,87.3
2/1/2018,89.07
2/2/2018,84.53
2/5/2018,79.72
2/6/2018,78.35
2/7/2018,76.94
2/8/2018,76.07
2/9/2018,75.78
2/12/2018,76.42
2/13/2018,76.3
2/14/2018,76.46
2/15/2018,76.21
2/16/2018,76.54
2/20/2018,75.75
2/21/2018,74.89
2/22/2018,75.86
2/23/2018,77.53
2/26/2018,78.84
2/27/2018,77.5
2/28/2018,75.74
3/1/2018,75.2
3/2/2018,75.55
3/5/2018,76.27
3/6/2018,76.18
3/7/2018,74.26
3/8/2018,74.12
3/9/2018,74.56
3/12/2018,75.24
3/13/2018,74.53
3/14/2018,73.6
3/15/2018,74.42
3/16/2018,75.12
3/19/2018,74.15
3/20/2018,73.99
3/21/2018,75.04
3/22/2018,73.5
3/23/2018,72.89
3/26/2018,74
3/27/2018,73.7
3/28/2018,72.81
3/29/2018,74.61
4/2/2018,73.22
4/3/2018,75.02
4/4/2018,74.87
4/5/2018,76.02
4/6/2018,74.87
4/9/2018,74.87
4/10/2018,77.07
4/11/2018,77.43
4/12/2018,77.22
4/13/2018,77.84
4/16/2018,78.54
4/17/2018,78.33
4/18/2018,79.22
4/19/2018,79.42
4/20/2018,79
4/23/2018,79.57
4/24/2018,78.35
4/25/2018,79.5
4/26/2018,80.86
4/27/2018,77.79
4/30/2018,77.75
5/1/2018,76.95
5/2/2018,76.8
5/3/2018,76.54
5/4/2018,76.9
5/7/2018,77.74
5/8/2018,78.09
5/9/2018,79.93
5/10/2018,81.72
5/11/2018,81.28
5/14/2018,81.83
5/15/2018,81.79
5/16/2018,82.02
5/17/2018,81.88
5/18/2018,81.3
5/21/2018,82.28
5/22/2018,81.64
5/23/2018,82.15
5/24/2018,80.27
5/25/2018,78.71
5/29/2018,78.42
5/30/2018,81.5
5/31/2018,81.24
6/1/2018,81.83
6/4/2018,80.97
6/5/2018,80.68
6/6/2018,82.06
6/7/2018,82.88
6/8/2018,83.6
6/11/2018,83.1
6/12/2018,82.42
6/13/2018,81.51
6/14/2018,81.89
6/15/2018,80.66
6/18/2018,80.82
6/19/2018,80.7
6/20/2018,80.45
6/21/2018,79.69
6/22/2018,81.38
6/25/2018,79.74
6/26/2018,80.64
6/27/2018,81.71
6/28/2018,81.97
6/29/2018,82.73
7/2/2018,81.76
7/3/2018,82.24
7/5/2018,82.31
7/6/2018,82.33
7/9/2018,82.9
7/10/2018,83.66
7/11/2018,82.59
7/12/2018,82.69
7/13/2018,83.31
7/16/2018,82.49
7/17/2018,82.31
7/18/2018,82.22
7/19/2018,82.01
7/20/2018,81.4
7/23/2018,81.4
7/24/2018,83.01
7/25/2018,83.59
7/26/2018,84.24
7/27/2018,81.92
7/30/2018,81.74
7/31/2018,81.51
8/1/2018,80.39
8/2/2018,79.91
8/3/2018,80.2
8/6/2018,80.18
8/7/2018,81.27
8/8/2018,80.73
8/9/2018,80.32
8/10/2018,79.42
8/13/2018,78.56
8/14/2018,78.31
8/15/2018,76.94
8/16/2018,78
8/17/2018,78.26
8/20/2018,78.81
8/21/2018,78.83
8/22/2018,79.96
8/23/2018,79.08
8/24/2018,79.62
8/27/2018,80.4
8/28/2018,80.28
8/29/2018,80.86
8/30/2018,80.51
8/31/2018,80.17
9/4/2018,80.29
9/5/2018,81.36
9/6/2018,80.46
9/7/2018,81.83
9/10/2018,81.71
9/11/2018,82.86
9/12/2018,83.13
9/13/2018,82.32
9/14/2018,82.92
9/17/2018,83.41
9/18/2018,83.63
9/19/2018,84.63
9/20/2018,84.82
9/21/2018,85.17
9/24/2018,86.6
9/25/2018,86.5
9/26/2018,85.78
9/27/2018,85.77
9/28/2018,85.02
10/1/2018,85.81
10/2/2018,86.46
10/3/2018,86.15
10/4/2018,85.58
10/5/2018,85.34
10/8/2018,86.13
10/9/2018,86.51
10/10/2018,84.52
10/11/2018,81.6
10/12/2018,81.38
10/15/2018,80.82
10/16/2018,81.2
10/17/2018,81.5
10/18/2018,81.85
10/19/2018,81.97
10/22/2018,81.15
10/23/2018,79.84
10/24/2018,77.62
10/25/2018,78.31
10/26/2018,77.53
10/29/2018,77.05
