Date,Close
5/1/2017,48.79
5/2/2017,48.47
5/3/2017,48.8
5/4/2017,47.9
5/5/2017,49.29
5/8/2017,50.25
5/9/2017,50.45
5/10/2017,51.21
5/11/2017,51.07
5/12/2017,51.45
5/15/2017,50.97
5/16/2017,50.97
5/17/2017,50.19
5/18/2017,49.92
5/19/2017,51.16
5/22/2017,50.02
5/23/2017,50
5/24/2017,49.87
5/25/2017,47.71
5/26/2017,48.19
5/30/2017,47.56
5/31/2017,46.76
6/1/2017,47.3
6/2/2017,46.99
6/5/2017,46.73
6/6/2017,48.04
6/7/2017,46.78
6/8/2017,47
6/9/2017,48.34
6/12/2017,48.42
6/13/2017,49.22
6/14/2017,47.72
6/15/2017,47.8
6/16/2017,49.54
6/19/2017,49.82
6/20/2017,47.72
6/21/2017,45.66
6/22/2017,45.63
6/23/2017,46.08
6/26/2017,46.21
6/27/2017,46.21
6/28/2017,47.14
6/29/2017,47.45
6/30/2017,47.93
7/3/2017,49.33
7/5/2017,47.65
7/6/2017,45.77
7/7/2017,45.11
7/10/2017,47.11
7/11/2017,47.2
7/12/2017,47.58
7/13/2017,48.24
7/14/2017,48.56
7/17/2017,48.68
7/18/2017,47.73
7/19/2017,49.86
7/20/2017,49.35
7/21/2017,48.41
7/24/2017,47.96
7/25/2017,48.86
7/26/2017,48.86
7/27/2017,50.22
7/28/2017,50.01
7/31/2017,49.48
8/1/2017,48.66
8/2/2017,47.91
8/3/2017,44.06
8/4/2017,45.22
8/7/2017,44.39
8/8/2017,44.12
8/9/2017,43.58
8/10/2017,42.61
8/11/2017,42.39
8/14/2017,41.57
8/15/2017,41.54
8/16/2017,40.63
8/17/2017,39.89
8/18/2017,40.31
8/21/2017,39.52
8/22/2017,39.89
8/23/2017,40.24
8/24/2017,40.03
8/25/2017,40.06
8/28/2017,39.35
8/29/2017,38.87
8/30/2017,38.37
8/31/2017,38.84
9/1/2017,39.48
9/5/2017,39.42
9/6/2017,40.13
9/7/2017,40.73
9/8/2017,39.3
9/11/2017,39.76
9/12/2017,40.52
9/13/2017,42.34
9/14/2017,42.22
9/15/2017,42.52
9/18/2017,42.3
9/19/2017,41.75
9/20/2017,43.05
9/21/2017,43.36
9/22/2017,43.57
9/25/2017,45.06
9/26/2017,45.96
9/27/2017,46.26
9/28/2017,45.8
9/29/2017,45.8
10/2/2017,45.72
10/3/2017,45.44
10/4/2017,45.14
10/5/2017,45.82
10/6/2017,45.17
10/9/2017,45.85
10/10/2017,42.46
10/11/2017,41.96
10/12/2017,41.41
10/13/2017,41.6
10/16/2017,42.73
10/17/2017,42.76
10/18/2017,42.65
10/19/2017,42.15
10/20/2017,41.53
10/23/2017,40.3
10/24/2017,40.14
10/25/2017,39.51
10/26/2017,39.59
10/27/2017,40.74
10/30/2017,40.81
10/31/2017,41.37
11/1/2017,42.23
11/2/2017,41.68
11/3/2017,42.75
11/6/2017,45.74
11/7/2017,45.19
11/8/2017,44.51
11/9/2017,45.24
11/10/2017,44.13
11/13/2017,43.49
11/14/2017,41.88
11/15/2017,41.03
11/16/2017,40.49
11/17/2017,41.18
11/20/2017,41.07
11/21/2017,41.44
11/22/2017,41.54
11/24/2017,41.14
11/27/2017,39.86
11/28/2017,40.27
11/29/2017,40.74
